t,e_norm,omega_norm,q0,q1,q2,q3,omega0,omega1,omega2,u0,u1,u2
3.7379999999996993,0.006328632196858424,0.007987933181493106,0.9999799740067382,-0.006060826904372925,0.001806427793192934,-0.00023405415254273444,0.007259258278690991,0.0017932094396649985,-0.002809741208857361,0.009724791060109718,-0.010812130052101732,0.006555699027885659
3.7389999999996992,0.0063254608389212985,0.007994647130171999,0.9999799940724691,-0.00605719663473279,0.0018073123182777476,-0.00023546960973812135,0.007271415522110319,0.0017823891520635938,-0.0028042802911596616,0.00968595549471052,-0.010794027577238179,0.006550439021271809
3.739999999999699,0.006322282958464272,0.008001353616172354,0.9999800141693799,-0.006053560294974185,0.0018081914529280458,-0.0002368823158400939,0.007283524211061058,0.001771586969204395,-0.0027988237473029628,0.009647192757774625,-0.010775939750120974,0.0065451767579663015
3.740999999999699,0.006319098577925225,0.008008052436204838,0.9999800342972667,-0.006049917909357915,0.0018090652061662183,-0.00023829227307181654,0.007295584436622876,0.0017608028765341384,-0.002793371579131824,0.009608502764185907,-0.01075786657773315,0.0065399122505509135
3.741999999999699,0.0063159077197073345,0.008014743389167373,0.9999800544559257,-0.006046269502099248,0.0018099335870074445,-0.00023969948365730335,0.007307596289768927,0.0017500368594920892,-0.0027879237884807007,0.00956988542885914,-0.010739808067013957,0.006534645511590615
3.742999999999699,0.006312710406179087,0.008021426276127591,0.999980074645154,-0.006042615097367985,0.0018107966044596904,-0.00024110394982141344,0.007319559861365893,0.0017392889035100871,-0.002782480377173956,0.009531340666740152,-0.010721764224858935,0.006529376553633566
3.7439999999996987,0.006309506659674266,0.008028100900305356,0.9999800948647486,-0.006038954719288496,0.0018116542675237037,-0.000242505673789846,0.0073314752421740174,0.0017285589940125913,-0.0027770413470258725,0.009492868392805949,-0.010703735058119997,0.006524105389211129
3.7449999999996986,0.006306296502491965,0.008034767067055398,0.999980115114507,-0.006035288391939786,0.0018125065851930106,-0.00024390465778913553,0.007343342522847146,0.0017178471164167248,-0.002771606699840665,0.009454468522064852,-0.010685720573605492,0.006518832030837872
3.7459999999996985,0.006303079956896586,0.008041424583850024,0.9999801353942273,-0.006031616139355541,0.001813353566453911,-0.000245300904046647,0.007355161793932768,0.0017071532561323205,-0.002766176437412493,0.009416140969556628,-0.010667720778080286,0.006513556491011574
3.7469999999996983,0.006299857045117842,0.008048073260261933,0.9999801557037076,-0.006027937985524185,0.0018141952202854758,-0.0002466944147905712,0.007366933145872056,0.0016964773985619656,-0.0027607505615254726,0.00937788565035263,-0.010649735678265835,0.00650827878221323
3.7479999999996982,0.006296627789350763,0.008054712907947103,0.9999801760427466,-0.006024253954388933,0.0018150315556595422,-0.0002480851922499197,0.0073786566689999005,0.001685819529101046,-0.00275532907395369,0.00933970247955593,-0.01063176528084026,0.006502998916907058
3.748999999999698,0.0062933922117556955,0.008061343340627808,0.9999801964111434,-0.006020564069847839,0.0018158625815407098,-0.0002494732386545203,0.007390332453544956,0.0016751796331377917,-0.002749911976461211,0.009301591372301445,-0.010613809592438423,0.006497716907540503
3.749999999999698,0.0062901503344583104,0.008067964374075687,0.9999802168086976,-0.006016868355753858,0.0018166883068863374,-0.00025085855623501206,0.0074019605896296775,0.001664557696053321,-0.002744499270802098,0.009263552243756076,-0.01059586861965199,0.006492432766544244
3.750999999999698,0.006286902179549603,0.008074575826094955,0.999980237235209,-0.006013166835914891,0.0018175087406465391,-0.0002522411472228407,0.007413541167270361,0.0016539537032216854,-0.0027390909587204164,0.00922558500911884,-0.010577942369029527,0.006487146506332196
3.751999999999698,0.006283647769085903,0.008081177516505661,0.9999802576904777,-0.006009459534093843,0.00181832389176418,-0.00025362101385025367,0.007425074276377183,0.001643367640009914,-0.0027336870419502526,0.009187689583621006,-0.010560030847076548,0.00648185813930152
3.7529999999996977,0.006280387125088871,0.008087769267127084,0.9999802781743043,-0.0060057464740086745,0.0018191337691748732,-0.0002549981583502956,0.007436560006754244,0.0016327994917780576,-0.002728287522215722,0.00914986588252621,-0.010542134060255608,0.006476567677832626
3.7539999999996976,0.006277120269545507,0.0080943509017612,0.99998029868649,-0.006002027679332454,0.0018199383818069753,-0.0002563725829568032,0.007447998448099608,0.001622249243879234,-0.0027228924012309844,0.0091121138211306,-0.01052425201498637,0.006471275134289182
3.7549999999996975,0.006273847224408161,0.008100922246176262,0.9999803192268361,-0.005998303173693414,0.0018207377385815837,-0.0002577442899044009,0.00745938969000534,0.0016117168816596709,-0.002717501680700254,0.009074433314762976,-0.010506384717645676,0.006465980521018112
3.7559999999996974,0.006270568011594527,0.008107483128090467,0.9999803397951442,-0.005994572980674997,0.0018215318484125316,-0.00025911328142849574,0.007470733821957551,0.0016012023904587512,-0.0027121153623178144,0.009036824278784886,-0.01048853217456763,0.006460683850349612
3.7569999999996972,0.006267282652987659,0.008114033377155733,0.9999803603912167,-0.005990837123815919,0.0018223207202063855,-0.00026047955976527285,0.007482030933336437,0.0015907057556090566,-0.002706733447768027,0.008999286628590801,-0.010470694392043655,0.006455385134597145
3.757999999999697,0.006263991170435969,0.00812057282494157,0.9999803810148561,-0.005987095626610213,0.0018231043628624416,-0.0002618431271516907,0.007493281113416323,0.0015802269624364124,-0.0027013559387253474,0.008961820279608205,-0.01045287137632259,0.006450084386057458
3.758999999999697,0.00626069358575324,0.008127101304919032,0.9999804016658653,-0.005983348512507288,0.0018238827852727212,-0.0002632039858254763,0.0075044844513657005,0.00156976599625993,-0.002695982836854335,0.00892442514729775,-0.010435063133610745,0.006444781617010575
3.759999999999697,0.006257389920718628,0.008133618652444816,0.9999804223440478,-0.005979595804911979,0.0018246559963219684,-0.0002645621380251205,0.007515641036247272,0.0015593228423920523,-0.002690614143809667,0.008887101147153373,-0.010417269670071979,0.006439476839719816
3.760999999999697,0.006254080197076663,0.008140124704745405,0.9999804430492072,-0.005975837527184598,0.001825424004887645,-0.0002659175859898731,0.0075267509570179905,0.0015488974861385969,-0.002685249861236149,0.008849848194702413,-0.010399490991827774,0.00643417006643179
3.7619999999996967,0.006250764436537267,0.00814661930090135,0.9999804637811476,-0.005972073702640995,0.0018261868198399282,-0.00026727033195973857,0.007537814302529104,0.0015384899127987995,-0.0026798899907687296,0.008812666205505774,-0.010381727104957312,0.0064288613093764135
3.7629999999996966,0.006247442660775758,0.00815310228183164,0.9999804845396736,-0.0059683043545526015,0.001826944450041707,-0.00026862037817547077,0.007548831161526196,0.0015281001076653585,-0.00267453453403251,0.008775555095158014,-0.010363978015497545,0.006423550580766903
